series,line,file,generated,credit,licence,note
e235,jr-east.yamanote,e235-yamanote-generated-v1.png,yes,AI-generated illustration (Tetsunote),,Yamanote Line livery; details unverified
e5,,e5-generated-v1.png,yes,AI-generated illustration (Tetsunote),,details unverified
e231,jr-east.chuo jr-east.sobu,e231-500-chuo-sobu-generated-v1.png,yes,AI-generated illustration (Tetsunote),,Chūō-Sōbu Line livery; details unverified
e233,jr-east.chuo,e233-0-chuo-rapid-generated-v1.png,yes,AI-generated illustration (Tetsunote),,Chūō Rapid livery; details unverified
keio-1000,,keio-1000-inokashira-generated-v1.png,yes,AI-generated illustration (Tetsunote),,details unverified
tobu-n100,,tobu-n100-spacia-x-generated-v1.png,yes,AI-generated illustration (Tetsunote),,details unverified
