id,kind,ja,en,lat,lon,wikidata,website,source,checked,hide,note
,,,,,,Q10882995,,,,yes,Closed in 2006; its collection moved to the Railway Museum in Ōmiya
,,,,,,Q56702311,,,,yes,Pavilion of Expo 2005; no longer open
,,,,,,Q11371180,,,,yes,JR East's staff training hall; not open to the public (check)
tsuruga-port-lamp-hut,historic-station,,Former Tsuruga Port Station Lamp Hut,,,Q122980340,,,,,
,historic-station,,,,,Q11511060,,,,,
chikutei-gallery,museum,,Embankment Gallery,,,Q140197839,,,,,
,,,,,,Q11594351,,,,yes,Removed from Tetsunote (2026-09-25)
,,,,,,Q140010136,,,,yes,Removed from Tetsunote (2026-09-25)
,,,,,,Q3567503,,,,yes,An amusement-park ride inside Tokyo Disneyland; removed from Tetsunote
