line,official_km,section,source,checked
jr-shikoku.dosan,198.7,多度津～窪川,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.naruto,8.5,池谷～鳴門,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.tokushima,67.5,佃～佐古,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.mugi,77.8,徳島～阿波海南,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-west.hokuriku,45.9,米原〜敦賀,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.wakayama,87.5,王寺〜和歌山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.obama,84.3,敦賀〜東舞鶴,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.etsumi-hoku,52.5,越前花堂〜九頭竜湖,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.hanwa,63.0,天王寺〜和歌山 など,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.nanao,59.5,津幡〜和倉温泉,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.johana,29.9,高岡〜城端,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.himi,16.5,高岡〜氷見,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.takayama,36.6,猪谷〜富山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kisei,204.0,新宮〜和歌山市,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.oito,35.3,南小谷〜糸魚川,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.tokaido,155.8,米原〜神戸 など,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
